top1,top5,coverage,size,num_calib
0.5845454545300417,0.9176767675842903,0.9654545454545455,4.941616161616162,100
0.5860606060606061,0.9177777779010812,0.9447474747474748,4.335252525252526,100
0.5847474747166489,0.9175757573908025,0.9287878787878788,3.94989898989899,100
0.5852525252371124,0.9178787878479621,0.9562626262626263,4.645252525252525,100
0.5852525251754607,0.9177777775928228,0.9662626262626263,4.997979797979798,100
0.5850505050350921,0.9172727271494239,0.9163636363636364,3.755959595959596,100
0.5861616161153774,0.9176767675534643,0.9523232323232323,4.50969696969697,100
0.5852525252216995,0.9176767675226385,0.9498989898989899,4.420909090909091,100
0.585050505050505,0.9175757574216283,0.9566666666666667,4.664848484848485,100
0.5855555555247297,0.9180808080499823,0.9404040404040404,4.211616161616162,100
0.5858947367778577,0.9187368420088919,0.9618947368421052,4.847368421052631,500
0.5863157893773129,0.9170526314825762,0.9407368421052632,4.262,500
0.5870526315468236,0.918210526380037,0.9523157894736842,4.526736842105263,500
0.584842105247096,0.9174736842426501,0.9574736842105264,4.7437894736842106,500
0.5838947369063529,0.9172631579589843,0.9453684210526315,4.337157894736842,500
0.5859999999036287,0.9182105263157895,0.9594736842105264,4.738315789473684,500
0.5870526315468236,0.9181052630615235,0.9670526315789474,5.022,500
0.5834736841462788,0.9171578946404709,0.9493684210526315,4.439684210526316,500
0.5861052631578947,0.9178947368099816,0.9611578947368421,4.751263157894737,500
0.5830526315789474,0.9171578947368421,0.9430526315789474,4.2653684210526315,500
0.5881111111111111,0.9186666666666666,0.9528888888888889,4.518666666666666,1000
0.5857777777777777,0.9177777777777778,0.9447777777777778,4.3037777777777775,1000
0.5867777777777777,0.9176666666666666,0.9426666666666667,4.269444444444445,1000
0.5862222222222222,0.9173333333333333,0.9564444444444444,4.613444444444444,1000
0.5866666666666667,0.9197777777777778,0.9663333333333334,4.919333333333333,1000
0.5865555555555556,0.9186666666666666,0.9453333333333334,4.334555555555555,1000
0.5847777777777777,0.9174444444444444,0.9468888888888889,4.409888888888889,1000
0.5847777777777777,0.918,0.9611111111111111,4.72,1000
0.5867777777777777,0.9193333333333333,0.9601111111111111,4.684111111111111,1000
0.5848888888888889,0.9168888888888889,0.933,4.094444444444444,1000
0.5818823529591279,0.9164705879121668,0.9455294117647058,4.34564705882353,1500
0.5876470586799173,0.918941176147461,0.9587058823529412,4.618823529411765,1500
0.58623529415355,0.9179999997845818,0.9529411764705882,4.532705882352941,1500
0.5855294117288029,0.9192941174675436,0.9521176470588235,4.4836470588235295,1500
0.5830588234576056,0.9164705880557789,0.9478823529411765,4.394588235294117,1500
0.5814117646879309,0.9174117645263672,0.9516470588235294,4.495294117647059,1500
0.584470588163488,0.9185882353659237,0.9521176470588235,4.498941176470589,1500
0.5850588234217027,0.9172941177188649,0.942,4.258,1500
0.5884705882352941,0.9172941175034467,0.9525882352941176,4.512235294117647,1500
0.583294117718865,0.9161176468793083,0.9410588235294117,4.265058823529412,1500
0.589375,0.921,0.95225,4.483375,2000
0.5835,0.919125,0.958625,4.620625,2000
0.58925,0.917875,0.955125,4.516875,2000
0.582875,0.918,0.954875,4.56175,2000
0.583375,0.91625,0.933125,4.103625,2000
0.583625,0.917125,0.948875,4.4785,2000
0.587,0.92075,0.9565,4.564875,2000
0.585625,0.919,0.950375,4.484625,2000
0.583625,0.916375,0.944375,4.369,2000
0.58675,0.919125,0.96225,4.756875,2000
0.5898,0.9182,0.9502,4.4272,5000
0.579,0.9188,0.9522,4.487,5000
0.579,0.9184,0.9514,4.4852,5000
0.5866,0.917,0.942,4.3424,5000
0.5822,0.9196,0.9578,4.5992,5000
0.5892,0.9174,0.9486,4.4282,5000
0.5872,0.9146,0.9496,4.4648,5000
0.5832,0.9154,0.9448,4.4366,5000
0.5846,0.9176,0.9468,4.4638,5000
0.5858,0.9214,0.9538,4.5188,5000
0.584984984969711,0.9177177177177177,0.93993993993994,4.197897897897898,10
0.5851851851699111,0.9177177176871696,0.915015015015015,3.711311311311311,10
0.5852852852852853,0.9177177177177177,0.9537537537537537,4.553753753753754,10
0.5848848848848849,0.9176176176176176,0.760960960960961,2.218118118118118,10
0.584984984984985,0.9177177176871696,0.9732732732732733,5.36966966966967,10
0.5854854854854855,0.9178178177872697,0.951051051051051,4.493193193193193,10
0.5852852852776482,0.9176176176023436,0.9484484484484484,4.446346346346346,10
0.585085085085085,0.9176176175870695,0.8985985985985986,3.452152152152152,10
0.584984984984985,0.9177177177177177,0.994994994994995,7.392092092092092,10
0.5855855855703115,0.9177177176871696,0.9867867867867868,6.203203203203203,10
0.5853266330354777,0.9176884421957199,0.9655276381909548,4.9632160804020105,50
0.5854271357627371,0.9177889444935862,0.9678391959798995,5.069045226130653,50
0.5850251258735082,0.9177889445702634,0.9691457286432161,5.144020100502512,50
0.5852261304462375,0.9177889447082827,0.9880402010050251,6.30894472361809,50
0.5855276381296128,0.9177889449229791,0.9825125628140704,5.8505527638190955,50
0.5850251255591311,0.9175879395451377,0.9459296482412061,4.397286432160804,50
0.5861306532739994,0.9180904521079518,0.9744723618090452,5.350452261306533,50
0.5852261307376114,0.9177889449996564,0.9591959798994975,4.764522613065327,50
0.5846231155165476,0.9178894473742002,0.9787939698492463,5.61537688442211,50
0.5857286431624062,0.9175879395451377,0.8987939698492462,3.4926633165829144,50
