Epoch,Train Loss,Train Acc,Test Loss,Test Acc,F1 Score
1,0.013297656452655793,0.46703333333333336,0.0053615315318107605,0.7727,0.7722809655655148
2,0.004537120283146699,0.8087500000000001,0.002988830028474331,0.8718,0.8718545457563869
3,0.002369618202249209,0.9012166666666667,0.0024543751269578934,0.8987,0.8976321137042858
4,0.0015406519486879308,0.93745,0.0017525948747992516,0.9304,0.9313881424752178
5,0.0012044429635008176,0.9509666666666667,0.0009219008666928858,0.9638000000000001,0.9637407411948663
6,0.0008868614535778761,0.9639333333333334,0.0005813031617784872,0.9756,0.9755977773591976
7,0.0008103949260277052,0.9671500000000001,0.0005207410790841095,0.9780000000000001,0.9779856453098812
8,0.0007346741179004311,0.96945,0.0006101257554895711,0.9740000000000001,0.9740127903906292
9,0.0007028605543697874,0.9716666666666667,0.0005283560472656972,0.9781000000000001,0.9781435347626287
10,0.0007012054485889773,0.9705333333333334,0.000638307796092704,0.9737,0.9736221101502026
11,0.0014094786471066376,0.9473333333333334,0.0006240895548136905,0.9741000000000001,0.9741076752371443
12,0.000855724612188836,0.9659000000000001,0.0005673675259342417,0.9766,0.9765877213725784
13,0.0007660837183861682,0.9704666666666667,0.0005486419612774626,0.9753000000000001,0.9752957204264134
14,0.0006984697717397164,0.9719333333333334,0.0005463480315520428,0.9772000000000001,0.9771975270809986
15,0.0006600042467626433,0.9737833333333333,0.0005169774492504076,0.9779,0.9779016741194831
16,0.0005854861890276273,0.97685,0.00046660074177198114,0.9804,0.9804139124396417
17,0.000563074325871033,0.9771333333333334,0.0005017332880641334,0.9796,0.9795965960222016
18,0.0005526356516250719,0.97775,0.00045593224691692737,0.9804,0.9804020664858888
19,0.000531837195996195,0.9782833333333334,0.0004135038034524769,0.9829,0.9829073439278653
20,0.0005362426565960049,0.9779666666666668,0.00041107066654367375,0.9826,0.9826095599662183
21,0.0004935700707913687,0.9797166666666667,0.00043437074897810816,0.9822000000000001,0.982218188296517
22,0.0004945142027844364,0.9797166666666667,0.0004386178273241967,0.9824,0.9824105535454842
23,0.0004951156543179726,0.9792833333333334,0.0004179227657499723,0.9831000000000001,0.9830954754837239
24,0.00047927409052693596,0.9807833333333333,0.0003963724287750665,0.9839,0.9838995767507689
25,0.00047287377204435565,0.9806,0.0003924984871875495,0.9837,0.9837051331903267
26,0.00045970502150400233,0.9806666666666667,0.0003878909258171916,0.9840000000000001,0.9840007971285568
27,0.0004788833065191284,0.9809166666666667,0.0003800507457403,0.9847,0.9847017053526712
28,0.00045515436177762846,0.9816,0.00037947100596502425,0.9843000000000001,0.9843068834409605
29,0.00044878594633967925,0.9819333333333334,0.0003831880222482141,0.9839,0.9839002356602808
30,0.00044480456633415696,0.9813500000000001,0.0003729995006986428,0.9846,0.9846024552898627
